Sun, 29 Jul 2018 11:15:25 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 28974 | Solicitando com metodo: GET | Arquivo: index.html | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:15:31 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 28975 | Solicitando com metodo: GET | Arquivo: /Imagem_link.html | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:15:31 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 28976 | Solicitando com metodo: GET | Arquivo: /styles/style_text.css | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:15:31 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 28977 | Solicitando com metodo: GET | Arquivo: /imagens/logotipo_designtech.png | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:15:31 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 28979 | Solicitando com metodo: GET | Arquivo: /imagens/icons/instagram.png | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:15:31 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 28980 | Solicitando com metodo: GET | Arquivo: /imagens/icons/whatsapp.png | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:15:31 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 28978 | Solicitando com metodo: GET | Arquivo: /imagens/icons/facebook.png | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:29:33 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29024 | Solicitando com metodo: GET | Arquivo: index.html | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:29:45 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29032 | Solicitando com metodo: GET | Arquivo: /Imagem_link.html | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:29:45 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29031 | Solicitando com metodo: GET | Arquivo: /styles/style_text.css | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:29:45 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29030 | Solicitando com metodo: GET | Arquivo: /imagens/logotipo_designtech.png | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:29:46 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29029 | Solicitando com metodo: GET | Arquivo: /imagens/icons/facebook.png | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:29:46 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29033 | Solicitando com metodo: GET | Arquivo: /imagens/icons/instagram.png | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:29:46 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29034 | Solicitando com metodo: GET | Arquivo: /imagens/icons/whatsapp.png | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:30:09 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29036 | Solicitando com metodo: GET | Arquivo: /tangirina | Protocolo: HTTP/1.1 | Resposta Servidor: 404 Not Found
Sun, 29 Jul 2018 11:30:22 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29041 | Solicitando com metodo: GET | Arquivo: /site2 | Protocolo: HTTP/1.1 | Resposta Servidor: 404 Not Found
Sun, 29 Jul 2018 11:30:27 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29042 | Solicitando com metodo: GET | Arquivo: /site2.html | Protocolo: HTTP/1.1 | Resposta Servidor: 401 Unauthorized
Sun, 29 Jul 2018 11:30:37 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29046 | Solicitando com metodo: GET | Arquivo: /site2.html | Protocolo: HTTP/1.1 | Resposta Servidor: 401 Unauthorized
Sun, 29 Jul 2018 11:33:20 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29061 | Solicitando com metodo: GET | Arquivo: /site2.html | Protocolo: HTTP/1.1 | Resposta Servidor: 401 Unauthorized
Sun, 29 Jul 2018 11:33:28 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29062 | Solicitando com metodo: GET | Arquivo: index.html | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:33:31 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29064 | Solicitando com metodo: GET | Arquivo: index.html | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
Sun, 29 Jul 2018 11:33:35 | Cliente com endereco 0:0:0:0:0:0:0:1 | Conectou-se com porta: 29065 | Solicitando com metodo: GET | Arquivo: index.html | Protocolo: HTTP/1.1 | Resposta Servidor: 200 OK
